feature,mean_shap,direction,abs_shap
abantu,0.03273500885581428,→ machine,0.03273500885581428
ba,-0.02936022791530043,→ human,0.02936022791530043
se,0.028030224251480076,→ machine,0.028030224251480076
kunye,-0.013689280416911222,→ human,0.013689280416911222
gore,-0.012079756115595268,→ human,0.012079756115595268
ndingakwazi,0.01037099629395542,→ machine,0.01037099629395542
ukuthenga,-0.010345014285576477,→ human,0.010345014285576477
uku,0.01015493158493561,→ machine,0.01015493158493561
ke,-0.009031796565565598,→ human,0.009031796565565598
kanye,0.00833034795854679,→ machine,0.00833034795854679
katika,-0.008258128675428206,→ human,0.008258128675428206
ngokwenza,-0.008015844073858665,→ human,0.008015844073858665
ili,0.007464348817795692,→ machine,0.007464348817795692
baze,-0.0071570232219341015,→ human,0.0071570232219341015
ukuthuthukisa,-0.006785607725885718,→ human,0.006785607725885718
ezifana,-0.006681372481701615,→ human,0.006681372481701615
yam,-0.006096268967611201,→ human,0.006096268967611201
kwa,0.006039357082331643,→ machine,0.006039357082331643
ka,0.0059152510248544725,→ machine,0.0059152510248544725
bethu,0.005900905643915463,→ machine,0.005900905643915463
tla,-0.005848082034728679,→ human,0.005848082034728679
ndiyacela,0.005776201387406642,→ machine,0.005776201387406642
na,0.005713136995853857,→ machine,0.005713136995853857
amanzi,-0.005595177964525903,→ human,0.005595177964525903
muhimu,-0.005368285520525975,→ human,0.005368285520525975
ni muhimu,-0.005361047510157595,→ human,0.005361047510157595
di,0.005240088127731601,→ machine,0.005240088127731601
za,0.00514386348113972,→ machine,0.00514386348113972
kwabantu,0.005111460410216304,→ machine,0.005111460410216304
ukuba,0.004994871574457747,→ machine,0.004994871574457747
